OpenTime,Datetime,Target,Spread,ATR,ATRRatio,PreviousRange,CurrentRange,BodySize,BodyPercent,UpperShadow,LowerShadow,UpperShadowRatio,LowerShadowRatio,Bullish,Bearish,Volatility,TrendDirection,TrendStrength,CurrentHour,Weekday,Month,Quarter,Session,BrokerOffset
1477180800,2016-10-23 00:00:00,0,0.0,10.502428571428547,0.6479453731789785,9.523000000000138,6.804999999999836,1.0559999999998126,15.518001469505336,1.913000000000011,3.8360000000000127,0.28111682586334413,0.5637031594416025,1,0,10.502428571428547,1,60.0,0,6,10,4,0,0
1477267200,2016-10-24 00:00:00,3,0.0,9.196499999999967,0.11993693252866222,6.804999999999836,1.102999999999838,0.11900000000014188,10.788757932924693,0.3919999999998254,0.5919999999998709,0.35539437896634896,0.5367180417044041,1,0,9.196499999999967,1,70.0,0,0,10,4,0,0
1477353600,2016-10-25 00:00:00,1,0.0,8.324071428571415,1.3939092305448157,1.102999999999838,11.603000000000065,2.741999999999962,23.631819357062366,5.649000000000115,3.211999999999989,0.48685684736706736,0.276824959062309,0,1,8.324071428571415,1,70.0,0,1,10,4,0,0
1477440000,2016-10-26 00:00:00,0,0.0,8.964928571428572,1.618752440064078,11.603000000000065,14.512000000000171,10.929000000000087,75.31008820286631,2.268000000000029,1.3150000000000546,0.15628445424476312,0.09061466372657381,1,0,8.964928571428572,1,70.0,0,2,10,4,0,0
1477526400,2016-10-27 00:00:00,0,0.0,9.21007142857143,1.271759952226208,14.512000000000171,11.712999999999965,7.898999999999887,67.43788952445924,2.033000000000129,1.780999999999949,0.1735678306155669,0.1520532741398407,0,1,9.21007142857143,1,70.0,0,3,10,4,0,0
1477612800,2016-10-28 00:00:00,3,0.0,8.972571428571444,0.8447968411667461,11.712999999999965,7.580000000000155,3.0720000000001164,40.52770448548883,3.1259999999999764,1.3820000000000618,0.41240105540895944,0.1823218997361522,1,0,8.972571428571444,1,70.0,0,4,10,4,0,0
1477785600,2016-10-30 00:00:00,0,0.0,9.943642857142875,2.2734123021887593,7.580000000000155,22.605999999999995,5.267000000000053,23.29912412633838,9.288999999999987,8.049999999999955,0.4109086083340701,0.35610015040254606,1,0,9.943642857142875,1,70.0,0,6,10,4,0,0
1477872000,2016-10-31 00:00:00,3,0.0,9.614928571428582,0.30348639392610044,22.605999999999995,2.9179999999998927,0.6010000000001128,20.59629883482299,0.5259999999998399,1.79099999999994,0.18026045236458507,0.613776559287185,1,0,9.614928571428582,1,70.0,0,0,10,4,0,0
1477958400,2016-11-01 00:00:00,1,0.0,9.250428571428577,0.8828780133739128,2.9179999999998927,8.167000000000144,2.591999999999871,31.737480102850807,0.7150000000001455,4.860000000000127,0.08754744704299411,0.5950777519284979,0,1,9.250428571428577,1,60.0,0,1,11,4,0,0
1478044800,2016-11-02 00:00:00,1,0.0,10.19685714285715,1.5824483734483972,8.167000000000144,16.135999999999967,11.615000000000009,71.98190381755101,4.058999999999969,0.4619999999999891,0.25154933068914087,0.02863163113534891,1,0,10.19685714285715,1,70.0,0,2,11,4,0,0
1478131200,2016-11-03 00:00:00,0,0.0,11.19564285714286,1.836964635476814,16.135999999999967,20.56600000000003,10.735999999999876,52.20266459204444,9.48700000000008,0.3430000000000746,0.4612953418263185,0.016678012253237093,1,0,11.19564285714286,1,70.0,0,3,11,4,0,0
1478217600,2016-11-04 00:00:00,0,0.0,12.035571428571432,1.7269641182684536,20.56600000000003,20.784999999999854,3.5570000000000164,17.11330286264153,4.451999999999998,12.77599999999984,0.2141929275920149,0.6146740437815699,1,0,12.035571428571432,1,70.0,0,4,11,4,0,0
1478390400,2016-11-06 00:00:00,2,0.0,11.987571428571446,1.0275642629866808,20.784999999999854,12.318000000000211,1.8949999999999818,15.38399090761446,3.161000000000058,7.262000000000171,0.2566163338204257,0.5895437571034297,1,0,11.987571428571446,1,80.0,0,6,11,4,0,0
1478476800,2016-11-07 00:00:00,3,0.0,12.461642857142872,0.508841416231531,12.318000000000211,6.341000000000122,3.630000000000109,57.2464910897341,1.1929999999999836,1.518000000000029,0.18814067181831898,0.23939441728434,0,1,12.461642857142872,1,70.0,0,0,11,4,0,0
1478563200,2016-11-08 00:00:00,2,0.0,13.232785714285749,1.3301054199796012,6.341000000000122,17.601000000000113,6.802000000000135,38.64553150389234,6.558999999999969,4.240000000000009,0.3726492812908316,0.24089540367024498,0,1,13.232785714285749,1,70.0,0,1,11,4,0,0
1478649600,2016-11-09 00:00:00,0,0.0,14.771142857142893,1.532718234395237,17.601000000000113,22.639999999999873,9.182000000000016,40.5565371024738,8.102999999999838,5.355000000000018,0.35790636042402313,0.23652826855123887,0,1,14.771142857142893,1,60.0,0,2,11,4,0,0
1478736000,2016-11-10 00:00:00,2,0.0,18.824000000000037,3.630631109222266,22.639999999999873,68.34300000000007,2.9559999999999036,4.325241795062992,61.00200000000018,4.384999999999991,0.8925859268688836,0.06416165518048646,1,0,18.824000000000037,1,60.0,0,3,11,4,0,0
1478822400,2016-11-11 00:00:00,2,0.0,20.633785714285732,1.9312500649074111,68.34300000000007,39.84899999999993,15.420000000000073,38.69607769329242,15.951999999999998,8.476999999999862,0.4003111746844344,0.21272804838264137,0,1,20.633785714285732,-1,50.0,0,4,11,4,0,0
1478995200,2016-11-13 00:00:00,0,0.0,23.105500000000024,2.0045876522905783,39.84899999999993,46.31700000000001,33.19900000000007,71.67778569423767,4.511999999999944,8.605999999999995,0.09741563572770134,0.1858065073299219,0,1,23.105500000000024,-1,50.0,0,6,11,4,0,0
1479081600,2016-11-14 00:00:00,2,0.0,22.86585714285715,0.1847733051773971,46.31700000000001,4.224999999999909,1.6059999999999945,38.01183431952732,1.5519999999999072,1.0670000000000073,0.3673372781064948,0.252544378698232,1,0,22.86585714285715,-1,50.0,0,0,11,4,0,0
1479168000,2016-11-15 00:00:00,0,0.0,22.583571428571435,0.8259986716007207,4.224999999999909,18.653999999999996,6.0499999999999545,32.432722204352714,0.48299999999994725,12.121000000000095,0.02589256995818309,0.6497802079982897,0,1,22.583571428571435,-1,60.0,0,1,11,4,0,0
1479254400,2016-11-16 00:00:00,0,0.0,23.162928571428584,0.5405188709791806,18.653999999999996,12.519999999999982,3.3719999999998436,26.932907348241603,4.4500000000000455,4.698000000000093,0.3554313099041575,0.3752396166134265,1,0,23.162928571428584,-1,60.0,0,2,11,4,0,0
1479340800,2016-11-17 00:00:00,2,0.0,23.39721428571428,0.48924627779252866,12.519999999999982,11.446999999999889,0.265999999999849,2.3237529483694557,6.0190000000000055,5.162000000000035,0.5258146239189363,0.45094784659736914,0,1,23.39721428571428,-1,70.0,0,3,11,4,0,0
1479427200,2016-11-18 00:00:00,2,0.0,23.694285714285716,0.8565356324611147,11.446999999999889,20.295000000000073,11.951999999999998,58.89135254988892,4.621000000000095,3.72199999999998,0.227691549642773,0.18339492485833786,0,1,23.694285714285716,-1,70.0,0,4,11,4,0,0
1479600000,2016-11-20 00:00:00,0,0.0,23.163214285714293,0.5668902354410508,20.295000000000073,13.131000000000085,6.66599999999994,50.765364404842714,1.2990000000002055,5.16599999999994,0.0989262051633689,0.39342015078820397,0,1,23.163214285714293,-1,70.0,0,6,11,4,0,0
1479686400,2016-11-21 00:00:00,1,0.0,21.861000000000022,0.1168290563103282,13.131000000000085,2.5540000000000873,1.316000000000031,51.527016444791926,0.59699999999998,0.6410000000000764,0.23375097885667956,0.25097885669540115,0,1,21.861000000000022,-1,70.0,0,0,11,4,0,0
1479772800,2016-11-22 00:00:00,3,0.0,21.789500000000007,0.518919663140504,2.5540000000000873,11.307000000000016,9.881000000000085,87.38834350402469,1.4259999999999309,0.0,0.12611656495975315,0.0,1,0,21.789500000000007,-1,70.0,0,1,11,4,0,0
1479859200,2016-11-23 00:00:00,2,0.0,21.69364285714286,0.6830572485026876,11.307000000000016,14.817999999999984,3.269999999999982,22.067755432581894,4.889999999999873,6.658000000000129,0.33000404912942893,0.4493183965447521,0,1,21.69364285714286,-1,70.0,0,2,11,4,0,0
1479945600,2016-11-24 00:00:00,0,0.0,22.801214285714277,1.4519840735299179,14.817999999999984,33.10699999999997,23.279999999999973,70.31745552300116,2.066000000000031,7.760999999999967,0.062403721267406675,0.23442172350258175,0,1,22.801214285714277,-1,70.0,0,3,11,4,0,0
1480032000,2016-11-25 00:00:00,3,0.0,21.931214285714287,0.476945775264872,33.10699999999997,10.460000000000036,3.4400000000000546,32.887189292543425,1.2690000000000055,5.750999999999976,0.12131931166348002,0.5498087954110857,0,1,21.931214285714287,-1,80.0,0,4,11,4,0,0
1480204800,2016-11-27 00:00:00,0,0.0,18.647928571428565,1.1999724212953542,10.460000000000036,22.376999999999953,2.104000000000042,9.402511507351505,7.173000000000002,13.099999999999909,0.32055235286231476,0.5854225320641702,0,1,18.647928571428565,-1,80.0,0,6,11,4,0,0
1480291200,2016-11-28 00:00:00,1,0.0,16.111214285714286,0.2690672424265286,22.376999999999953,4.335000000000036,3.1089999999999236,71.71856978085115,0.14400000000000546,1.0820000000001073,0.033217993079585756,0.2495963091119027,1,0,16.111214285714286,-1,80.0,0,0,11,4,0,0
1480377600,2016-11-29 00:00:00,0,0.0,13.838571428571429,1.047796015278208,4.335000000000036,14.5,7.8960000000001855,54.455172413794386,2.8799999999998818,3.7239999999999327,0.19862068965516427,0.2568275862068919,1,0,13.838571428571429,-1,70.0,0,1,11,4,0,0
